date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:09	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Jul%202016%2012:18:09%20GMT	http://demos2.crazycafe.net/inviting/vershions	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions.0.delayed	(from )
17:48:10	39217/39217	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20May%202016%2009:28:11%20GMT	http://demos2.crazycafe.net/inviting/vershions/	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/index.html	(from )
17:48:10	140/140	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jul%202016%2012:18:09%20GMT	http://demos2.crazycafe.net/robots.txt		(from )
17:48:10	2635/2635	---M--	200	added ('OK')	image/png	etag:%22574813d5-a4b%22	http://demos2.crazycafe.net/inviting/vershions/img/img-icons/fevicon.png	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/img-icons/fevicon.png	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:11	40832/40832	---M--	200	added ('OK')	text/css	etag:%2257481333-9f80%22	http://demos2.crazycafe.net/inviting/vershions/style.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/style.css	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:12	33406/33406	---M--	200	added ('OK')	text/css	etag:%2257481342-827e%22	http://demos2.crazycafe.net/inviting/vershions/css/responsive.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/css/responsive.css	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:13	39217/39217	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20May%202016%2009:28:11%20GMT	http://demos2.crazycafe.net/inviting/vershions/index.html	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/index-2.html	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:13	18313/18313	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20May%202016%2009:28:10%20GMT	http://demos2.crazycafe.net/inviting/vershions/about.html	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/about.html	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:13	30964/30964	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20May%202016%2009:28:15%20GMT	http://demos2.crazycafe.net/inviting/vershions/schedule.html	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/schedule.html	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:14	21191/21191	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20May%202016%2009:28:15%20GMT	http://demos2.crazycafe.net/inviting/vershions/speakers.html	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/speakers.html	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:14	15620/15620	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20May%202016%2009:28:12%20GMT	http://demos2.crazycafe.net/inviting/vershions/pricing.html	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/pricing.html	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:14	12658/12658	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20May%202016%2009:28:09%20GMT	http://demos2.crazycafe.net/inviting/vershions/contact.html	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/contact.html	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:15	28520/28520	---M--	200	added ('OK')	image/jpeg	etag:%2257481378-6f68%22	http://demos2.crazycafe.net/inviting/vershions/img/about-one.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/about-one.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:16	11358/11358	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20May%202016%2009:28:13%20GMT	http://demos2.crazycafe.net/inviting/vershions/registration.html	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/registration.html	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:17	36606/36606	---M--	200	added ('OK')	image/jpeg	etag:%2257481377-8efe%22	http://demos2.crazycafe.net/inviting/vershions/img/about-two.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/about-two.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:17	7417/7417	---M--	200	added ('OK')	image/jpeg	etag:%2257481386-1cf9%22	http://demos2.crazycafe.net/inviting/vershions/img/schedule-speaker-1.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/schedule-speaker-1.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:18	6606/6606	---M--	200	added ('OK')	image/jpeg	etag:%2257481388-19ce%22	http://demos2.crazycafe.net/inviting/vershions/img/schedule-speaker-2.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/schedule-speaker-2.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:18	8620/8620	---M--	200	added ('OK')	image/jpeg	etag:%225748138a-21ac%22	http://demos2.crazycafe.net/inviting/vershions/img/schedule-speaker-3.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/schedule-speaker-3.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:18	7773/7773	---M--	200	added ('OK')	image/jpeg	etag:%225748138b-1e5d%22	http://demos2.crazycafe.net/inviting/vershions/img/schedule-speaker-4.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/schedule-speaker-4.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:19	14103/14103	---M--	200	added ('OK')	image/jpeg	etag:%2257481394-3717%22	http://demos2.crazycafe.net/inviting/vershions/img/speaker-1.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/speaker-1.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:19	11463/11463	---M--	200	added ('OK')	image/jpeg	etag:%2257481396-2cc7%22	http://demos2.crazycafe.net/inviting/vershions/img/speaker-2.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/speaker-2.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:20	10940/10940	---M--	200	added ('OK')	image/jpeg	etag:%2257481397-2abc%22	http://demos2.crazycafe.net/inviting/vershions/img/speaker-3.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/speaker-3.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:21	4722/4722	---M--	200	added ('OK')	image/jpeg	etag:%2257481398-1272%22	http://demos2.crazycafe.net/inviting/vershions/img/sponsor-1.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/sponsor-1.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:22	20575/20575	---M--	200	added ('OK')	image/jpeg	etag:%225748137f-505f%22	http://demos2.crazycafe.net/inviting/vershions/img/client-1.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/client-1.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:22	4828/4828	---M--	200	added ('OK')	image/jpeg	etag:%2257481398-12dc%22	http://demos2.crazycafe.net/inviting/vershions/img/sponsor-2.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/sponsor-2.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:22	5763/5763	---M--	200	added ('OK')	image/jpeg	etag:%2257481399-1683%22	http://demos2.crazycafe.net/inviting/vershions/img/sponsor-3.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/sponsor-3.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:23	24029/24029	---M--	200	added ('OK')	image/jpeg	etag:%2257481380-5ddd%22	http://demos2.crazycafe.net/inviting/vershions/img/client-2.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/client-2.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:23	5601/5601	---M--	200	added ('OK')	image/jpeg	etag:%225748139b-15e1%22	http://demos2.crazycafe.net/inviting/vershions/img/sponsor-4.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/sponsor-4.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:23	6881/6881	---M--	200	added ('OK')	image/jpeg	etag:%225748139b-1ae1%22	http://demos2.crazycafe.net/inviting/vershions/img/sponsor-5.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/sponsor-5.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:23	5666/5666	---M--	200	added ('OK')	image/jpeg	etag:%225748139d-1622%22	http://demos2.crazycafe.net/inviting/vershions/img/sponsor-6.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/sponsor-6.jpg	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:26	97180/97180	---M--	200	added ('OK')	application/x-javascript	etag:%22574813ae-17b9c%22	http://demos2.crazycafe.net/inviting/vershions/js/jquery-1.12.3.min.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/js/jquery-1.12.3.min.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:28	40461/40461	---M--	200	added ('OK')	application/x-javascript	etag:%22574813b4-9e0d%22	http://demos2.crazycafe.net/inviting/vershions/js/slick.min.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/js/slick.min.js	(from http://demos2.crazycafe.net/inviting/vershions/)
